"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"54","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","414","450","92%","133","133","100%","62","62","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"55","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","17","18","94%","0","0","-","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"56","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","464","594","78%","446","446","100%","246","246","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"57","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","176","210","84%","176","176","100%","79","79","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"58","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","240","266","90%","30","32","94%","28","29","97%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"59","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","238","238","100%","23","24","96%","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"60","SALISBURY NHS FOUNDATION TRUST","RNZ","123","139","88%","28","30","93%","21","30","70%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"61","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","698","710","98%","212","212","100%","129","129","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"62","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","477","498","96%","26","27","96%","18","18","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"63","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","123","424","29%","10","35","29%","2","3","67%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"64","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","558","613","91%","90","98","92%","35","38","92%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"65","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","281","291","97%","107","110","97%","23","25","92%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"66","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","146","276","53%","-","-","-","-","-","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"67","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","369","419","88%","131","133","98%","71","71","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"68","STOCKPORT NHS FOUNDATION TRUST","RWJ","447","496","90%","7","33","21%","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"69","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","299","323","93%","3","5","60%","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"70","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","238","373","64%","47","47","100%","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"71","THE CHRISTIE NHS FOUNDATION TRUST","RBV","17","17","100%","0","0","-","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"72","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","11","11","100%","3","4","75%","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"73","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","507","512","99%","119","119","100%","55","57","96%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"74","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","123","208","59%","9","22","41%","2","2","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"75","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","424","468","91%","45","47","96%","39","41","95%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"76","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","237","247","96%","42","42","100%","42","42","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"77","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","4","4","100%","0","0","-","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"78","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","298","301","99%","87","98","89%","6","10","60%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"79","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","472","544","87%","37","83","45%","8","12","67%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"80","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","26","26","100%","0","0","-","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"81","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","8","8","100%","2","2","100%","2","2","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"82","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","12","12","100%","0","0","-","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"83","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","96","98","98%","15","16","94%","15","16","94%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"84","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","293","296","99%","53","55","96%","39","40","98%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"85","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","600","620","97%","126","126","100%","56","56","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"86","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","528","539","98%","38","38","100%","8","8","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"87","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","148","259","57%","43","60","72%","10","21","48%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"88","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","209","350","60%","11","14","79%","2","3","67%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"89","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","347","367","95%","39","39","100%","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"90","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","294","319","92%","9","9","100%","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"91","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","666","713","93%","81","85","95%","42","42","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"92","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","592","600","99%","254","254","100%","68","68","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"93","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","282","369","76%","21","21","100%","18","18","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"94","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","119","282","42%","4","4","100%","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
