"","Org.name","Org.code","Number.to.whom.case.finding.is.applied","Number.of.emergency.admissions","Percentage.to.whom.case.finding.is.applied","Number.who.had.a.diagnostic.assessment","Number.with.positive.case.finding.question","Percentage.with.a..diagnostic.assessment","Number.of.cases.referred","Number.with.a.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url","revised"
"11","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","379","417","91%","67","70","96%","48","48","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"12","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","573","584","98%","75","75","100%","0","46","0%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"13","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","306","339","90%","7","7","100%","4","4","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"14","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","207","228","91%","6","6","100%","2","2","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"15","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","262","265","99%","60","60","100%","37","38","97%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"16","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","377","377","100%","93","93","100%","65","65","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"17","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","468","487","96%","150","150","100%","94","94","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"18","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","289","302","96%","13","15","87%","8","8","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"19","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","649","713","91%","41","48","85%","8","17","47%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"20","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","395","437","90%","24","57","42%","2","11","18%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"21","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","544","602","90%","20","20","100%","6","6","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"22","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","165","205","80%","26","26","100%","22","23","96%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"23","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","718","719","100%","80","83","96%","51","51","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"24","FRIMLEY HEALTH NHS FOUNDATION TRUST","RDU","774","780","99%","53","53","100%","51","51","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"25","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","30","495","6%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"26","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"27","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","362","380","95%","65","66","98%","27","27","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"28","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","166","177","94%","46","60","77%","9","11","82%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"29","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","544","544","100%","13","15","87%","12","12","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"30","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","144","162","89%","9","10","90%","4","4","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"31","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","1171","1320","89%","42","43","98%","8","8","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"32","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","134","135","99%","38","38","100%","17","38","45%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"33","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"34","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","34","34","100%","23","33","70%","10","10","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"35","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","185","200","93%","96","97","99%","53","58","91%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"36","KINGSTON HOSPITAL NHS FOUNDATION TRUST","RAX","186","256","73%","36","43","84%","14","19","74%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"37","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","389","426","91%","114","114","100%","97","106","92%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"38","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","32","32","100%","9","9","100%","3","3","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"39","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","3","3","100%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"40","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","362","397","91%","34","34","100%","13","14","93%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"41","MEDWAY NHS FOUNDATION TRUST","RPA","345","357","97%","31","31","100%","31","31","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"42","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","160","166","96%","10","10","100%","10","10","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"43","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","199","213","93%","82","82","100%","25","25","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"44","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"45","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","493","616","80%","69","70","99%","69","69","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"46","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","397","397","100%","47","47","100%","16","16","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"47","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","486","562","86%","26","26","100%","17","17","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"48","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","297","329","90%","28","29","97%","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"49","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RTH","434","734","59%","257","257","100%","116","116","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"50","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","9","9","100%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"51","NORTH WEST ANGLIA NHS FOUNDATION TRUST","RGN","498","549","91%","274","274","100%","117","117","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"52","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","525","635","83%","95","95","100%","39","39","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"53","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","9","9","100%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"54","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","404","443","91%","49","49","100%","35","35","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"55","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","43","44","98%","1","1","100%","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"56","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","451","491","92%","442","442","100%","196","196","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"57","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","471","570","83%","166","182","91%","125","125","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"58","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","246","266","92%","36","38","95%","29","30","97%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"59","ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST","RD1","519","593","88%","43","44","98%","5","5","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"60","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","344","353","97%","74","76","97%","6","6","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"61","SALISBURY NHS FOUNDATION TRUST","RNZ","127","137","93%","19","19","100%","16","16","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"62","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","704","755","93%","284","284","100%","157","157","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"63","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","486","501","97%","21","24","88%","13","15","87%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"64","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","357","380","94%","36","40","90%","22","22","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"65","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","160","202","79%","11","14","79%","3","4","75%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"66","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","191","206","93%","22","24","92%","12","13","92%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"67","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","370","370","100%","88","88","100%","50","50","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"68","ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST","RJ7","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"69","STOCKPORT NHS FOUNDATION TRUST","RWJ","341","384","89%","23","24","96%","11","11","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"70","TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST","RMP","370","373","99%","5","5","100%","3","3","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"71","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","407","456","89%","1","1","100%","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"72","THE CHRISTIE NHS FOUNDATION TRUST","RBV","29","31","94%","1","1","100%","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"73","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","16","18","89%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"74","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","555","563","99%","95","95","100%","45","46","98%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"75","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","179","186","96%","13","15","87%","8","8","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"76","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","354","557","64%","9","22","41%","2","3","67%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"77","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","259","278","93%","50","50","100%","50","50","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"78","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","2","3","67%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"79","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","366","413","89%","62","63","98%","8","12","67%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"80","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","546","563","97%","56","75","75%","14","15","93%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"81","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","5","5","100%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"82","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","3","6","50%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"83","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","4","4","100%","0","0","-","0","0","-"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"84","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","RA9","248","421","59%","42","67","63%","28","28","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"85","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","98","98","100%","12","12","100%","12","12","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"86","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","282","284","99%","32","33","97%","31","31","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"87","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","611","629","97%","143","143","100%","25","25","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"88","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","567","572","99%","39","39","100%","3","3","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"89","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","340","390","87%","36","37","97%","2","2","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"90","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","315","336","94%","36","36","100%","25","25","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"91","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","358","370","97%","76","76","100%","16","16","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"92","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","284","284","100%","68","68","100%","68","68","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"93","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","803","892","90%","97","105","92%","15","15","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
"94","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","699","741","94%","181","181","100%","21","21","100%"," April 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/09/Dementia-Data-Collection-Q1-2017-18-CSV-35KB.csv",FALSE
