"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"11","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","34","34","100%","7","7","100%","4","5","80%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"12","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","104","474","22%","13","105","12%","10","13","77%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"13","THE CHRISTIE NHS FOUNDATION TRUST","RBV","22","24","92%","3","3","100%","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"14","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","282","285","99%","31","33","94%","15","15","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"15","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","724","773","94%","119","122","98%","94","97","97%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"16","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","150","162","93%","12","12","100%","8","8","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"17","AIREDALE NHS FOUNDATION TRUST","RCF","199","247","81%","40","56","71%","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"18","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","264","287","92%","43","43","100%","43","43","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"19","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","374","404","93%","58","64","91%","16","16","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"20","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","64","178","36%","0","1","0%","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"21","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","151","159","95%","151","159","95%","9","9","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"22","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","484","498","97%","171","171","100%","85","85","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"23","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","285","285","100%","12","12","100%","9","9","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"24","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","62","1,013","6%","5","89","6%","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"25","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","187","412","45%","15","17","88%","11","11","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"26","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","12","12","100%","2","2","100%","2","2","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"27","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","2","2","100%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"28","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","7","8","88%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"29","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","296","409","72%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"30","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","187","306","61%","58","63","92%","2","5","40%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"31","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","161","414","39%","17","25","68%","8","13","62%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"32","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","10","11","91%","1","1","100%","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"33","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","475","537","88%","286","295","97%","73","77","95%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"34","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","283","313","90%","70","77","91%","36","36","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"35","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","331","351","94%","39","39","100%","28","28","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"36","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","539","582","93%","75","75","100%","68","68","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"37","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","146","562","26%","49","145","34%","72","75","96%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"38","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","530","562","94%","125","125","100%","76","76","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"39","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","682","683","100%","226","226","100%","134","134","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"40","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","388","446","87%","137","138","99%","68","68","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"41","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","235","257","91%","68","69","99%","34","34","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"42","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","372","399","93%","38","112","34%","23","26","88%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"43","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","309","322","96%","15","15","100%","14","14","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"44","NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST","RJL","215","418","51%","43","44","98%","2","43","5%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"45","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","266","279","95%","18","18","100%","14","14","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"46","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","133","197","68%","76","76","100%","58","61","95%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"47","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","83","411","20%","11","14","79%","6","9","67%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"48","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","231","235","98%","49","49","100%","24","24","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"49","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","0","0"," -   ","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"50","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","637","671","95%","24","26","92%","24","24","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"51","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","313","313","100%","41","41","100%","27","27","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"52","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","274","277","99%","45","46","98%","8","8","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"53","BOLTON NHS FOUNDATION TRUST","RMC","292","387","75%","27","27","100%","13","23","57%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"54","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","160","373","43%","2","6","33%","2","2","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"55","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","265","375","71%","147","155","95%","22","27","81%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"56","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","251","495","51%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"57","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","449","550","82%","111","111","100%","40","41","98%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"58","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","204","235","87%","164","204","80%","28","28","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"59","SALISBURY NHS FOUNDATION TRUST","RNZ","112","144","78%","29","32","91%","25","27","93%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"60","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","622","688","90%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"61","MEDWAY NHS FOUNDATION TRUST","RPA","61","339","18%","3","20","15%","0","3","0%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"62","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","12","13","92%","1","1","100%","1","1","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"63","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","15","16","94%","2","2","100%","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"64","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","290","1,204","24%","89","96","93%","12","18","67%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"65","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","297","431","69%","6","38","16%","2","4","50%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"66","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","234","357","66%","12","15","80%","3","3","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"67","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","506","519","97%","42","44","95%","13","13","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"68","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","142","151","94%","22","23","96%","9","10","90%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"69","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","20","26","77%","1","1","100%","2","2","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"70","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","470","479","98%","56","61","92%","47","51","92%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"71","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","605","744","81%","85","85","100%","32","41","78%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"72","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","429","548","78%","50","92","54%","7","7","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"73","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","659","696","95%","48","50","96%","22","22","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"74","ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","384","396","97%","64","66","97%","45","45","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"75","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","483","527","92%","93","101","92%","31","34","91%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"76","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","375","398","94%","37","46","80%","1","20","5%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"77","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","784","815","96%","108","127","85%","73","73","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"78","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","420","420","100%","101","101","100%","17","17","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"79","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","473","482","98%","25","25","100%","16","16","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"80","STOCKPORT NHS FOUNDATION TRUST","RWJ","0","0"," -   ","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"81","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","359","397","90%","30","31","97%","5","5","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"82","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","407","421","97%","64","64","100%","42","45","93%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"83","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","321","540","59%","42","71","59%","0","25","0%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"84","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","413","425","97%","123","124","99%","103","107","96%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"85","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","628","705","89%","22","23","96%","4","4","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"86","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","1","6","17%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"87","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"88","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"89","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","85","830","10%","16","26","62%","15","20","75%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"90","Total NHS Foundation Trusts","","23607","32206","73%","4209","5000","84%","1949","2132","91%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"91","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"92","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"93","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"94","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
