"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"11","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","461","494","93%","76","76","replaced with 'Percentage.of.cases.further.assessed' in this CSV","45","45","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"12","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","578","602","96%","75","76","replaced with 'Percentage.of.cases.further.assessed' in this CSV","72","73","99%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"13","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","330","367","90%","13","13","replaced with 'Percentage.of.cases.further.assessed' in this CSV","11","11","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"14","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","139","143","97%","26","26","replaced with 'Percentage.of.cases.further.assessed' in this CSV","26","26","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"15","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","342","343","100%","42","42","replaced with 'Percentage.of.cases.further.assessed' in this CSV","29","29","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"16","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","254","254","100%","54","54","replaced with 'Percentage.of.cases.further.assessed' in this CSV","47","47","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"17","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","503","504","100%","156","156","replaced with 'Percentage.of.cases.further.assessed' in this CSV","80","80","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"18","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","278","301","92%","17","18","replaced with 'Percentage.of.cases.further.assessed' in this CSV","13","14","93%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"19","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","587","672","87%","30","31","replaced with 'Percentage.of.cases.further.assessed' in this CSV","9","12","75%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"20","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","473","525","90%","39","54","replaced with 'Percentage.of.cases.further.assessed' in this CSV","38","53","72%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"21","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","692","751","92%","9","9","replaced with 'Percentage.of.cases.further.assessed' in this CSV","5","5","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"22","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","135","287","47%","39","39","replaced with 'Percentage.of.cases.further.assessed' in this CSV","27","27","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"23","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","667","669","100%","54","57","replaced with 'Percentage.of.cases.further.assessed' in this CSV","58","58","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"24","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","327","328","100%","37","37","replaced with 'Percentage.of.cases.further.assessed' in this CSV","31","31","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"25","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","260","277","94%","48","48","replaced with 'Percentage.of.cases.further.assessed' in this CSV","19","19","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"26","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","572","651","88%","60","60","replaced with 'Percentage.of.cases.further.assessed' in this CSV","15","15","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"27","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","434","512","85%","66","81","replaced with 'Percentage.of.cases.further.assessed' in this CSV","39","39","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"28","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","182","202","90%","63","63","replaced with 'Percentage.of.cases.further.assessed' in this CSV","28","30","93%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"29","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","408","549","74%","62","80","replaced with 'Percentage.of.cases.further.assessed' in this CSV","7","20","35%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"30","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","148","161","92%","15","15","replaced with 'Percentage.of.cases.further.assessed' in this CSV","12","12","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"31","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","816","1205","68%","122","136","replaced with 'Percentage.of.cases.further.assessed' in this CSV","21","26","81%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"32","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","367","396","93%","36","39","replaced with 'Percentage.of.cases.further.assessed' in this CSV","17","17","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"33","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","158","160","99%","158","160","replaced with 'Percentage.of.cases.further.assessed' in this CSV","24","26","92%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"34","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","278","299","93%","35","38","replaced with 'Percentage.of.cases.further.assessed' in this CSV","15","15","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"35","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","70","106","66%","55","70","replaced with 'Percentage.of.cases.further.assessed' in this CSV","11","11","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"36","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","510","532","96%","86","88","replaced with 'Percentage.of.cases.further.assessed' in this CSV","58","58","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"37","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","367","383","96%","85","85","replaced with 'Percentage.of.cases.further.assessed' in this CSV","75","76","99%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"38","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","41","41","100%","3","3","replaced with 'Percentage.of.cases.further.assessed' in this CSV","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"39","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","0","1","0%","0","0","replaced with 'Percentage.of.cases.further.assessed' in this CSV","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"40","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","289","310","93%","20","21","replaced with 'Percentage.of.cases.further.assessed' in this CSV","13","13","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"41","MEDWAY NHS FOUNDATION TRUST","RPA","297","327","91%","67","70","replaced with 'Percentage.of.cases.further.assessed' in this CSV","63","63","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"42","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","241","252","96%","30","30","replaced with 'Percentage.of.cases.further.assessed' in this CSV","30","30","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"43","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","172","188","91%","21","22","replaced with 'Percentage.of.cases.further.assessed' in this CSV","18","19","95%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"44","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","161","289","56%","14","18","replaced with 'Percentage.of.cases.further.assessed' in this CSV","9","11","82%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"45","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","replaced with 'Percentage.of.cases.further.assessed' in this CSV","NIL RETURN","NIL RETURN","NIL RETURN"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"46","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","597","637","94%","45","48","replaced with 'Percentage.of.cases.further.assessed' in this CSV","45","45","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"47","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","424","424","100%","30","30","replaced with 'Percentage.of.cases.further.assessed' in this CSV","10","10","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"48","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","478","489","98%","32","32","replaced with 'Percentage.of.cases.further.assessed' in this CSV","27","27","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"49","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","373","376","99%","61","67","replaced with 'Percentage.of.cases.further.assessed' in this CSV","1","1","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"50","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","12","12","100%","1","1","replaced with 'Percentage.of.cases.further.assessed' in this CSV","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"51","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","515","567","91%","284","284","replaced with 'Percentage.of.cases.further.assessed' in this CSV","69","69","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"52","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","replaced with 'Percentage.of.cases.further.assessed' in this CSV","NOT IN MONTH","NOT IN MONTH","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"53","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","8","10","80%","2","2","replaced with 'Percentage.of.cases.further.assessed' in this CSV","2","2","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"54","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","414","450","92%","133","133","replaced with 'Percentage.of.cases.further.assessed' in this CSV","62","62","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"55","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","17","18","94%","0","0","replaced with 'Percentage.of.cases.further.assessed' in this CSV","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"56","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","464","594","78%","446","446","replaced with 'Percentage.of.cases.further.assessed' in this CSV","246","246","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"57","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","176","210","84%","176","176","replaced with 'Percentage.of.cases.further.assessed' in this CSV","79","79","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"58","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","240","266","90%","30","32","replaced with 'Percentage.of.cases.further.assessed' in this CSV","28","29","97%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"59","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","238","238","100%","23","24","replaced with 'Percentage.of.cases.further.assessed' in this CSV","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"60","SALISBURY NHS FOUNDATION TRUST","RNZ","123","139","88%","28","30","replaced with 'Percentage.of.cases.further.assessed' in this CSV","21","30","70%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"61","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","698","710","98%","212","212","replaced with 'Percentage.of.cases.further.assessed' in this CSV","129","129","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"62","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","477","498","96%","26","27","replaced with 'Percentage.of.cases.further.assessed' in this CSV","18","18","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"63","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","123","424","29%","10","35","replaced with 'Percentage.of.cases.further.assessed' in this CSV","2","3","67%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"64","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","558","613","91%","90","98","replaced with 'Percentage.of.cases.further.assessed' in this CSV","35","38","92%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"65","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","281","291","97%","107","110","replaced with 'Percentage.of.cases.further.assessed' in this CSV","23","25","92%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"66","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","146","276","53%","-","-","replaced with 'Percentage.of.cases.further.assessed' in this CSV","-","-","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"67","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","369","419","88%","131","133","replaced with 'Percentage.of.cases.further.assessed' in this CSV","71","71","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"68","STOCKPORT NHS FOUNDATION TRUST","RWJ","447","496","90%","7","33","replaced with 'Percentage.of.cases.further.assessed' in this CSV","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"69","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","299","323","93%","3","5","replaced with 'Percentage.of.cases.further.assessed' in this CSV","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"70","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","238","373","64%","47","47","replaced with 'Percentage.of.cases.further.assessed' in this CSV","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"71","THE CHRISTIE NHS FOUNDATION TRUST","RBV","17","17","100%","0","0","replaced with 'Percentage.of.cases.further.assessed' in this CSV","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"72","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","11","11","100%","3","4","replaced with 'Percentage.of.cases.further.assessed' in this CSV","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"73","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","507","512","99%","119","119","replaced with 'Percentage.of.cases.further.assessed' in this CSV","55","57","96%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"74","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","123","208","59%","9","22","replaced with 'Percentage.of.cases.further.assessed' in this CSV","2","2","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"75","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","424","468","91%","45","47","replaced with 'Percentage.of.cases.further.assessed' in this CSV","39","41","95%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"76","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","237","247","96%","42","42","replaced with 'Percentage.of.cases.further.assessed' in this CSV","42","42","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"77","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","4","4","100%","0","0","replaced with 'Percentage.of.cases.further.assessed' in this CSV","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"78","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","298","301","99%","87","98","replaced with 'Percentage.of.cases.further.assessed' in this CSV","6","10","60%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"79","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","472","544","87%","37","83","replaced with 'Percentage.of.cases.further.assessed' in this CSV","8","12","67%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"80","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","26","26","100%","0","0","replaced with 'Percentage.of.cases.further.assessed' in this CSV","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
