"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","month","url"
"41","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT"," 222 "," 237 ","94%"," 26 "," 26 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"42","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8"," 196 "," 216 ","91%"," 62 "," 62 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"43","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6"," NIL RETURN "," NIL RETURN ","-"," NIL RETURN "," NIL RETURN ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"44","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1"," 656 "," 674 ","97%"," 44 "," 45 ","98%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"45","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW"," 409 "," 409 ","100%"," 40 "," 40 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"46","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL"," 516 "," 542 ","95%"," 44 "," 44 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"47","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF"," 371 "," 389 ","95%"," 43 "," 47 ","91%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"48","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM"," 10 "," 10 ","100%"," -   "," -   ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"49","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN"," 495 "," 522 ","95%"," 294 "," 296 ","99%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"50","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3"," 656 "," 669 ","98%"," 656 "," 656 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"51","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC"," 13 "," 15 ","87%"," -   "," -   ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"52","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW"," 376 "," 408 ","92%"," 92 "," 92 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"53","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3"," 23 "," 24 ","96%"," 1 "," 1 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"54","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8"," 503 "," 522 ","96%"," 495 "," 495 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"55","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL"," 569 "," 627 ","91%"," 209 "," 209 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"56","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2"," 137 "," 138 ","99%"," 8 "," 8 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"57","ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST","RD1","586","619","95%","39","41","95%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"58","SALFORD ROYAL NHS FOUNDATION TRUST","RM3"," 254 "," 254 ","100%"," 34 "," 34 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"59","SALISBURY NHS FOUNDATION TRUST","RNZ"," 101 "," 125 ","81%"," 18 "," 20 ","90%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"60","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ"," 772 "," 784 ","98%"," 214 "," 215 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"61","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5"," 573 "," 578 ","99%"," 14 "," 14 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"62","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9"," 135 "," 273 ","49%"," 19 "," 40 ","48%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"63","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR"," 512 "," 551 ","93%"," 76 "," 81 ","94%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"64","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9"," 63 "," 316 ","20%"," 4 "," 19 ","21%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"65","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC"," 244 "," 263 ","93%"," 37 "," 39 ","95%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"66","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ"," 374 "," 394 ","95%"," 211 "," 211 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"67","STOCKPORT NHS FOUNDATION TRUST","RWJ"," 378 "," 398 ","95%"," 17 "," 17 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"68","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP"," 336 "," 340 ","99%"," 2 "," 2 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"69","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA"," 217 "," 361 ","60%"," 43 "," 43 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"70","THE CHRISTIE NHS FOUNDATION TRUST","RBV"," 16 "," 17 ","94%"," 3 "," 3 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"71","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN"," 12 "," 13 ","92%"," 3 "," 3 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"72","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA"," 471 "," 516 ","91%"," 94 "," 94 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"73","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS"," 130 "," 142 ","92%"," 19 "," 20 ","95%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"74","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD"," 466 "," 511 ","91%"," 32 "," 33 ","97%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"75","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX"," 230 "," 248 ","93%"," 29 "," 29 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"76","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1"," 2 "," 3 ","67%"," -   "," 1 ","0%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"77","THE ROTHERHAM NHS FOUNDATION TRUST","RFR"," 241 "," 292 ","83%"," 24 "," 31 ","77%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"78","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ"," 288 "," 557 ","52%"," 16 "," 73 ","22%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"79","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY"," 13 "," 13 ","100%"," 1 "," 1 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"80","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ"," 3 "," 3 ","100%"," -   "," -   ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"81","THE WALTON CENTRE NHS FOUNDATION TRUST","RET"," 8 "," 8 ","100%"," -   "," -   ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"82","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV"," 84 "," 85 ","99%"," 16 "," 16 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"83","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2"," 314 "," 319 ","98%"," 30 "," 33 ","91%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"84","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM"," 590 "," 605 ","98%"," 140 "," 140 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"85","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK"," 536 "," 549 ","98%"," 34 "," 34 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"86","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7"," 281 "," 335 ","84%"," 69 "," 70 ","99%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"87","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX"," 333 "," 354 ","94%"," 44 "," 46 ","96%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"88","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW"," 339 "," 351 ","97%"," 23 "," 23 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"89","WEST SUFFOLK NHS FOUNDATION TRUST","RGR"," 304 "," 322 ","94%"," 13 "," 13 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"90","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR"," 790 "," 846 ","93%"," 74 "," 82 ","90%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"91","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL"," 669 "," 681 ","98%"," 197 "," 197 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
