"","artist","col2","title","col4","year","medium","col7","Accession_num","unknown_code","acquisition_method","on_display_at","area","area_code","on_display_duplicate","postcode","keywords","col17","col18","col19","col20","col21","col22"
"11","unknown artist","NULL","Indian Servant with Horse","NULL","NULL","oil on mica","NULL","LANKH.200.1","LAN_LKH_LANKH_200_1","gift from Miss E. G. Brooks","14th/20th King's Hussars Museum","Lancashire","LAN","14th/20th King's Hussars Museum","PR1 4YP","NULL","NULL","NULL",NA,NA,NA,NA
"12","unknown artist","NULL","Indian Servant with Boots","NULL","NULL","oil on mica","NULL","LANKH.200.2","LAN_LKH_LANKH_200_2","gift from Miss E. G. Brooks","14th/20th King's Hussars Museum","Lancashire","LAN","14th/20th King's Hussars Museum","PR1 4YP","NULL","NULL","NULL",NA,NA,NA,NA
"13","Parker, Henry Perlee, 1795–1873","NULL","1st King's Dragoon Guards, The Baggage Train","NULL","1824","oil on canvas","NULL","PCF1","SW_QDG_PCF1","on long-term loan to Firing Line Cardiff Castle Museum of the Welsh Soldier","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","NULL","NULL","Baby, Baggage, Baggage Train, Barrel, Bonnet, Box, Building, Cart, Child, Church, Cloud, Hay, Helmet, Horse, Man, Pitcher, Saddle, Shawl, Soldier, Uniform, Woman, Women","NULL","NULL",NA,NA,NA,NA
"14","unknown artist","NULL","Captain James Leatham, 1st King's Dragoon Guards","NULL","c.1824","oil on canvas","NULL","PCF2","SW_QDG_PCF2","on long-term loan to Firing Line Cardiff Castle Museum of the Welsh Soldier","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","NULL","NULL","Belt, Braid, Button, Captain, Collar, Dragoon, Glove, Hair, Hairstyle, Helmet, Man, Medal, Officer, Plume, Sideburn, Soldier, Sword, Uniform","NULL","NULL",NA,NA,NA,NA
"15","Beach, Thomas, 1738–1806","NULL","Cornet Edmund Pitts Middleton, 2nd Queen's Dragoon Guards","NULL","c.1778","oil on canvas","NULL","PCF3","SW_QDG_PCF3","on long-term loan to Firing Line Cardiff Castle Museum of the Welsh Soldier","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","NULL","NULL","Wig, Uniform","NULL","NULL",NA,NA,NA,NA
"16","British (English) School","NULL","Henry Mordaunt (1621–1697), 2nd Earl of Peterborough","NULL","1685","oil on canvas","1","1000","SW_QDG_1000","gift from Gerard Beddington Esq., Major A. J. Lamb and Major William B. Beddington, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"17","British (English) School","NULL","George, Lord Carpenter","NULL","1731","oil on canvas","1","1001","SW_QDG_1001","gift from Major D. F. MacCallan, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"18","British (English) School","NULL","Field Marshall Sir George Howard (1718–1796)","NULL","c.1779","oil on canvas","1","1002","SW_QDG_1002","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"19","British (English) School","NULL","Major John Dorset Bringhurst (d.1815)","NULL","c.1815","oil on canvas","1","1003","SW_QDG_1003","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"20","British (English) School","NULL","Captain William Alexander Maxwell","NULL","c.1825","oil on panel","1","1004","SW_QDG_1004","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"21","British (English) School","NULL","Officer, The Queen's Dragoon Guards (Queen's Bays)","NULL","c.1825","oil on canvas","1","1005","SW_QDG_1005","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"22","Grant, Francis, 1803–1878","NULL","Lieutenant Charles Sergison Smith","NULL","c.1828","oil on canvas","1","1006","SW_QDG_1006","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"23","Ferneley I, John E., 1782–1860","NULL","Officer of 1st King's Regiment of Dragoon Guards","NULL","1840","oil on canvas","1","1007","SW_QDG_1007","gift from Lord Wynford, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"24","Cooper, Alfred Egerton, 1883–1974","NULL","Lieutenant General Sir Charles Briggs (1865–1941)","NULL","c.1926","oil on canvas","1","1008","SW_QDG_1008","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"25","Corfield, Colin, 1910–1991","NULL","Captain Leslie St Cheape (1882–1916), on 'Aeolus'","(after Henry Frederick Lucas Lucas)","1974","oil on canvas","1","1009","SW_QDG_1009","unknown acquisition method","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"26","White, Sydney Wales, 1870–1945","NULL","Brigadier John Ambard Bell-Smythe, CMG, CB","NULL","c.1918","oil on canvas","1","1010","SW_QDG_1010","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"27","Grant, Henry","NULL","Major General Sir Nevill Maskelyne Smyth (1868–1941), VC, KCB","NULL","1920","oil on canvas","1","1011","SW_QDG_1011","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"28","Newman, J.","NULL","Lieutenant Colonel Sir Charles Leicester, Bt","NULL","1947","oil on canvas","1","1012","SW_QDG_1012","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"29","British (English) School","NULL","Lieutenant Claude Norman Champion de Crespigny (1888–1914), Queen's Bays","NULL","c.1914","oil on canvas","1","1014","SW_QDG_1014","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"30","Hodge, Francis Edwin, 1883–1949","NULL","Second Lieutenant John Stanley Wingate, Queen's Bays","NULL","1947","oil on canvas behind glass","1","1015","SW_QDG_1015","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"31","Fildes, Denis, 1889–1974","NULL","Brigadier S. G. Howes, DSO, MC","NULL","1954","oil on canvas","1","1016","SW_QDG_1016","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"32","Hall, Edward, 1922–1991","NULL","General Sir Jack Harman (1920–2009), GCB, MC, ADC (Gen.)","NULL","1980","oil on canvas","1","1017","SW_QDG_1017","gift from Major Douglas MacCallan, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"33","Hutching, Peter","NULL","Lieutenant Sir Maurice Johnston (b.1929), KCB, OBE","NULL","1991","oil on canvas","1","1018","SW_QDG_1018","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"34","British (English) School","NULL","The Duke of Cumberland (1721–1765) with General Sir John Ligonier (1680–1770)","NULL","c.1745","oil on canvas","1","1019","SW_QDG_1019","gift from Colonel C. J. Draffen, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"35","Horowitz, Leopold, 1838–1917","NULL","His Imperial Majesty Franz Josef (1830–1916), Colonel in Chief 1st King's Dragoon Guards (1896–1914)","NULL","1890","oil on canvas","1","1020","SW_QDG_1020","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"36","Phipps, Jemma, b.1977","NULL","His Royal Highness, the Prince of Wales (b.1948)","NULL","2006","oil on canvas","1","1022","SW_QDG_1022","commissioned by Officers Mess, 1st The Queen's Dragoon Guards, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"37","Hillingfield, R.","NULL","Ramillies, 23 May 1706","NULL","1706","oil on canvas","1","1023","SW_QDG_1023","purchased from the Parker Gallery, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"38","Archer, Peter, active 1984–1994","NULL","1st King's Dragoon Guards at La Haye Sainte Farm (Battle of Waterloo)","NULL","1994","oil on canvas","1","1024","SW_QDG_1024","commissioned by 1st The Queen's Dragoon Guards, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"39","Payne, Harry, 1858–1927","NULL","The Charge of The Queen's Bays at Lucknow, 1858","NULL","1900","oil on canvas","1","1025","SW_QDG_1025","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"40","Wilcox, Leslie Arthur, 1904–1982","NULL","Breakout from Tobruk, November, 1941","NULL","1959","oil on canvas","1","1026","SW_QDG_1026","gift from Lieutenant Colonel H. C. Selby, MC, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"41","B., T. R.","NULL","Two Marmon-Herrington Armoured Cars of a Squadron of King's Dragoon Guards in North Africa","NULL","1944","oil on canvas","1","1027","SW_QDG_1027","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"42","Burnett, Michael","NULL","A Queen's Dragoon Guards Ferret, Mark 5, in Southern Beirut, 1983","NULL","c.1983","oil on canvas","1","1028","SW_QDG_1028","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"43","King, Gordon, b.1939","NULL","Aircraft Integration Trials","NULL","1962","oil on canvas","1","1029","SW_QDG_1029","gift from Major Francis F. Chamberlain, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"44","unknown artist","NULL","The Queen's Dragoon Guards in Sheik Othman, Aden","NULL","1967","oil on canvas","1","1031","SW_QDG_1031","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"45","Rowlands, David John, b.1952","NULL","B Squadron, 1st The Queen's Dragoon Guards at Safwan, Iraq","NULL","2004","oil on canvas","NULL","1032","SW_QDG_1032","unknown acquisition method","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"46","Rowlands, David John, b.1952","NULL","HQ Squadron, 1st The Queen's Dragoon Guards, Umm Qasr Park, Iraq, 2003","NULL","2004","oil on canvas","NULL","1033","SW_QDG_1033","unknown acquisition method","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"47","Gibson, Jock","NULL","The Queen's Bays Farewell Parade, Tidworth, 1958","NULL","1958","oil on canvas","1","1034","SW_QDG_1034","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"48","Barrow, Julian, 1939–2013","NULL","HM Queen Elizabeth, The Queen Mother, Reviews the Regiment at Catterick","NULL","1972","oil on canvas","1","1035","SW_QDG_1035","gift from Lieutenant Colonel M. R. Johnston, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"49","Bartholomew, Lindsey","NULL","HM The Queen Mother Presents a New Standard, Hohne, Germany, 1978","NULL","1979","oil on canvas","1","1036","SW_QDG_1036","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"50","Secombe, A. K. (Lieutenant Colonel)","NULL","Mounted Dragoon and Girl","NULL","1850","oil on canvas","1","1037","SW_QDG_1037","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"51","Ferneley II, John, 1814–1862","NULL","Captain William C. Smith and Lieutenant Charles S. Smith","NULL","1828","oil on canvas","1","1038","SW_QDG_1038","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"52","Ferneley II, John, 1814–1862","NULL","Officer Standing by His Charger, 1st King's Dragoon Guards","NULL","c.1850","oil on canvas","1","1039","SW_QDG_1039","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"53","British (English) School","NULL","2nd Dragoon Guards, Mounted Officer","NULL","1850","oil on canvas","1","1040","SW_QDG_1040","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"54","Mathews (Major), John Edward Chapman 'Chester', 1843–1927","NULL","His Imperial Majesty Franz Josef Reviewing a Detachment of His Regiment","NULL","1905","oil on canvas","1","1041","SW_QDG_1041","gift from Colonel K. E. Savill, CVD, DSO, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"55","Ferneley II, John, 1814–1862","NULL","Watering the Horses during a Working Day at the Barracks","NULL","c.1850","oil on canvas","1","1042","SW_QDG_1042","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"56","Murch","NULL","Mounted New South Wales Lancer","NULL","1930","oil on canvas","1","1043","SW_QDG_1043","gift from Officers 1st/21st Light Horse Regiment New South Wales Lancers, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"57","Partridge, John C.","NULL","'Apollo', the Charger of Lieutenant John Christian Anstice","NULL","1884","oil on canvas","1","1044","SW_QDG_1044","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"58","Clark, Albert C.","NULL","'York', Charger Belonging to Captain H. F. Wickham (1879–1919), 1st King's Dragoon Guards","NULL","1907","oil on canvas","1","1045","SW_QDG_1045","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"59","Hollams, Florence Mabel, 1877–1963","NULL","'Ich Dien', General Fanshawe's Hunter","NULL","1943","oil on canvas","1","1046","SW_QDG_1046","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"60","Hollams, Florence Mabel, 1877–1963","NULL","'Mayfly', General Fanshawe's Charger","NULL","1949","oil on canvas","1","1047","SW_QDG_1047","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"61","Bird, Harrington, 1846–1936","NULL","Galtee More","NULL","1898","oil on canvas","1","1048","SW_QDG_1048","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"62","Biegel, Peter, 1913–1987","NULL","The South Dorset Hunt","NULL","1979","oil on canvas","1","1049","SW_QDG_1049","gift from Major J. D. Harris, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"63","Alken, Henry Thomas, 1785–1851","NULL","The Start, Horse Race","NULL","1800","oil on card","1","1050","SW_QDG_1050","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"64","Alken, Henry Thomas, 1785–1851","NULL","Over the Water, Horse Race","NULL","1800","oil on canvas","1","1051","SW_QDG_1051","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"65","Alken, Henry Thomas, 1785–1851","NULL","The Finish, Horse Race","NULL","1800","oil on canvas","1","1052","SW_QDG_1052","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"66","Favell","NULL","B Squadron Officers Dining, Cyprus","NULL","NULL","oil on canvas","1","1053","SW_QDG_1053","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"67","Wyllie, Harold, 1880–1973","NULL","SS 'Strathnaver'","NULL","1969","oil on canvas","1","1054","SW_QDG_1054","gift from Lieutentant Colonel M. J. Lindsey, DSO, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"68","unknown artist","NULL","Lieutenant Tom Mildenhall (d.2003)","NULL","2008","oil on canvas","1","1058","SW_QDG_1058","commissioned by Officers, 1st The Queen's Dragoon Guards","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"69","Gibson, Jack (Colonel)","NULL","Champion Cup, 1959","NULL","NULL","oil on canvas","1","1059","SW_QDG_1059","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"70","K., F.","NULL","Colonel Leslie French, Commanding Officer Queen's Bays, 2nd Dragoon Guards (1886–1888)","NULL","1889","oil on canvas","1","CARDG 348","SW_QDG_CARDG_348","unknown acquisition method, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"71","British (English) School","NULL","Lieutenant H. H. Harris, 1st King's Dragoon Guards","NULL","c.1904","oil on canvas","1","CARDG 595","SW_QDG_CARDG_595","gift from Mrs Harris, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
"72","British (English) School","NULL","Unknown Cornet, 1st King's Dragoon Guards","NULL","c.1770","oil on canvas","1","CARDG 668","SW_QDG_CARDG_668","gift from A. Howes and Mrs Mainwaring, not available at the time of photography","1st The Queen's Dragoon Guards Heritage Trust","South Wales","SW","1st The Queen's Dragoon Guards Heritage Trust","CF10 2RB","NULL","NULL","NULL",NA,NA,NA,NA
