"","code","fullurl","ratings","F.F.score","patients","surgeryname","address","accepting","url","male","female"
"18",103542,NA,NA,"NO DATA","10661","Melling Surgery",NA,"We are currently not accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=103542","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                "
"19",35340,NA,NA,"NO DATA","4646","EGREMONT MEDICAL CENTRE",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35340","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                "
"20",42792,NA,NA,"100%","10460","Hillview Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42792","        
            Additional information
            Saturday - for pre-booked appointments only 

        ",NA
"21",40816,NA,NA,"85%","6321","Dr Mohammed Hossain",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40816","
                    GPs at this practice
                    3"," and 1 female GPs
                    
                "
"22",41790,NA,NA,"NO DATA","1439","Poulter Rd",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=41790","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                        Additional languages spoken
                        Bengali, Hindi
                    
                "
"23",40240,NA,NA,"93%","8478","Drs Wilson, Evans & Halder",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40240","
                    GPs at this practice
                    1"," and 4 female GPs
                    
                "
"24",43489,NA,NA,"NO DATA","5120","Dr Sanjeev Saxena",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=43489","
                    GPs at this practice
                    1"," and 0 female GP
                    
                        Additional languages spoken
                        Hindi
                    
                "
"25",39748,NA,NA,"NO DATA","9258","Three Shires Medical Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=39748","        
            Additional information
            Our extended hours surgery on Mondays between 1830-1930 takes place on alternate weeks.

        ",NA
"26",39252,NA,NA,"95%","3272","Eccleshill Village Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=39252","        
            Additional information
            Early morning appointments available form 6.30am every Monday with Dr Hamdani. 

        ",NA
"27",41303,NA,NA,"100%","6493","Vesper Road",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=41303","        
            Additional information
            Please note that Vesper Road Surgery is part of a Hub sevice providing extended access for our patients at weekends, between 8am and 4pm on Sat and 9am to 1pm on Sun.
This service is provided at Ireland Wood Surgery, Iveson Approach, Leeds, LS16 6FR. To get to Ireland Wood by public transport, use the 19 or 19A bus. Appointments are by appointment only and can be booked by ringing the usual surgery number.
You may not see  your own GP but you will see a GP who is able to access your full medical record and provide you with an equivalent level of care.

        ",NA
"28",35836,NA,NA,"92%","11478","Guru Nanak Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35836","        
            Additional information
            Please note: Our telephone lines are open from 8.00 am to 6.30 pm, Monday - Friday and 10.00 am to 13.00 pm.


        ",NA
"29",39173,NA,NA,"NO DATA","279","Dr Patel, NN",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=39173","
                    GPs at this practice
                    1"," and 0 female GP
                    
                "
"30",38189,NA,NA,"NO DATA","4064","ORRELL PARK MEDICAL CENTRE",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38189","
                    GPs at this practice
                    3"," and 1 female GPs
                    
                "
"31",37938,NA,NA,"65%","12480","Central Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37938","
                    GPs at this practice
                    2"," and 6 female GPs
                    
                "
"32",42357,NA,NA,"NO DATA","3844","Green Road Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42357","
                    GPs at this practice
                    0"," and 3 female GPs
                    
                "
"33",44847,NA,NA,"NO DATA","6873","The Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44847","
                    GPs at this practice
                    3"," and 1 female GPs
                    
                        Additional languages spoken
                        Hindi, Punjabi
                    
                "
"34",45131,NA,NA,"NO DATA","9617","The Saluja Clinic",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=45131","
                    GPs at this practice
                    2"," and 0 female GPs
                    
                "
"35",44758,NA,NA,"67%","1932","Woodchurch Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44758","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                "
"36",41096,NA,NA,"82%","5375","Concept House Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=41096","
                    GPs at this practice
                    0"," and 0 female GP
                    
                "
"37",42353,NA,NA,"NO DATA","5950","Heathrow Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42353","
                    GPs at this practice
                    2"," and 1 female GPs
                    
                "
"38",39266,NA,NA,"NO DATA","3731","Frizinghall Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=39266","
                    GPs at this practice
                    2"," and 1 female GPs
                    
                        Additional languages spoken
                        Punjabi
                    
                "
"39",89526,NA,NA,"NO DATA","8588","Hendon Way Surgery ",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=89526","
                    GPs at this practice
                    2"," and 1 female GPs
                    
                        Additional languages spoken
                        Russian, Iraqi, Amharic
                    
                "
"40",89527,NA,NA,"NO DATA","8482","Dr Azim and partners",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=89527","        
            Additional information
            Every other Sunday 9AM - 11AM                                                                                                         

Wednesday evenings are for pre-booked appointments only

        ",NA
"41",36485,NA,NA,"NO DATA","13638","Elmwood Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36485","
                    GPs at this practice
                    3"," and 7 female GPs
                    
                "
"42",36922,NA,NA,"88%","8899","Ashcroft Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36922","
                    GPs at this practice
                    4"," and 3 female GPs
                    
                        Additional languages spoken
                        Hindi, Punjabi, Urdu
                    
                "
"43",39355,NA,NA,"100%","4973","The Mountfield Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=39355","
                    GPs at this practice
                    1"," and 2 female GPs
                    
                "
"44",37935,NA,NA,"NO DATA","1569","Northcote Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37935","        
            Additional information
            The surgery is closed on Wednesday evening, weekends & Bank Holidays
        ",NA
"45",44287,NA,NA,"95%","2676","Dr Shobhna Patel",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44287","
                    GPs at this practice
                    1"," and 2 female GPs
                    
                        Additional languages spoken
                        Gujarati, Hindi, Pushto
                    
                "
"46",35911,NA,NA,"42%","5617","The Heaton Medical Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35911","
                    GPs at this practice
                    2"," and 0 female GPs
                    
                "
"47",35416,NA,NA,"NO DATA","15","Dyneley House",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35416","
                    GPs at this practice
                    1"," and 0 female GP
                    
                "
"48",40936,NA,NA,"100%","3788","Sunrise Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40936","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                        Additional languages spoken
                        Punjabi, Urdu
                    
                "
"49",42278,NA,NA,"NO DATA","2243","Dr Suganthamala Radhakrishnan",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42278","
                    GPs at this practice
                    0"," and 1 female GP
                    
                "
"50",43045,NA,NA,"NO DATA","3004","Lady Margaret Road Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=43045","        
            Additional information
            Surgery is closed on weekends public and bank holidays. 
Extended hours are on Monday & Tuesday evening 
        ",NA
"51",41724,NA,NA,"91%","3507","Holly Park Clinic",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=41724","        
            Additional information
            Please ring between 10am and 11am if you require a telephone consultation. For home visits please ring as early as possible.


        ",NA
"52",41188,NA,NA,"100%","6650","Glendale Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=41188","
                    GPs at this practice
                    1"," and 3 female GPs
                    
                "
"53",36949,NA,NA,"100%","12888","Abernethy House Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36949","
                    GPs at this practice
                    3"," and 4 female GPs
                    
                "
"54",41038,NA,NA,"99%","7869","The Mwh Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=41038","
                    GPs at this practice
                    0"," and 3 female GPs
                    
                        Additional languages spoken
                        Arabic, Burmese
                    
                "
"55",37108,NA,NA,"58%","16320","Beacon Primary Care",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37108","
                    GPs at this practice
                    2"," and 5 female GPs
                    
                        Additional languages spoken
                        Laotian, Bengali, French, Hindi
                    
                "
"56",45066,NA,NA,"100%","2474","Sandy Lane Health Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=45066","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                        Additional languages spoken
                        Hindi
                    
                "
"57",133065,NA,NA,"NO DATA","15169","Skelmersdale Family Practice",NA,"We are currently not accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=133065","
                    GPs at this practice
                    0"," and 0 female GP
                    
                "
"58",44466,NA,NA,"83%","7558","Friern Barnet Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44466","        
            Additional information
             Baby immunisations are done on Tuesday afternoon.  You need to book appointment with the nurse.
        ",NA
"59",37799,NA,NA,"93%","3311","North Hyde Road Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37799","        
            Additional information
            1. Phone lines are open from 9.00 to 18.00 Monday to Friday, except on Wednesday from 9.00 to 13.00.
2. Our extended surgery hours are on Monday till 19:20 and Tuesday till 19:00.
3. Children under the age of 5 are given appointments on the same day.

        ",NA
"60",45051,NA,NA,"77%","5431","Northville Family Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=45051","        
            Additional information
            Saturday surgery are booked appointments only .Please ring reception for saturday surgery dates

        ",NA
"61",42378,NA,NA,"94%","18746","West Lodge Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42378","        
            Additional information
            If you wish to see a GP and are unable to access a GP at the practice Monday to Sunday 8am - 8pm then contact the Shakespere Practice on 0113 2951132.

        ",NA
"62",37447,NA,NA,"90%","5949","PARK STREET SURGERY",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37447","
                    GPs at this practice
                    3"," and 0 female GPs
                    
                "
"63",39377,NA,NA,"77%","11354","White Lodge Medical Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=39377","        
            Additional information
            On a Monday evening we are open until 8pm. However in line with NHS England guidelines, the phones go over to the Out of Hours Service at 6.30pm.


        ",NA
"64",42337,NA,NA,"100%","8936","Abbey Road Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42337","
                    GPs at this practice
                    4"," and 1 female GPs
                    
                        Additional languages spoken
                        Arabic, Urdu, Bengali
                    
                "
"65",44930,NA,NA,"93%","15707","Aintree Park Group Practice ",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44930","
                    GPs at this practice
                    4"," and 3 female GPs
                    
                "
"66",110116,NA,NA,"NO DATA","5124","Radnor House Surgery & Ascot Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=110116","
                    GPs at this practice
                    3"," and 3 female GPs
                    
                        Additional languages spoken
                        Creole, French
                    
                "
"67",35337,NA,NA,"NO DATA","4471","Heatherlands Med Ctr",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35337","
                    GPs at this practice
                    2"," and 2 female GPs
                    
                "
"68",43567,NA,NA,"96%","9996","The Rockwell And Wrose Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=43567","
                    GPs at this practice
                    1"," and 4 female GPs
                    
                "
"69",35881,NA,NA,"NO DATA","12537","Wrose Health Centre",NA,"We are currently not accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35881","
                    GPs at this practice
                    3"," and 6 female GPs
                    
                "
"70",42332,NA,NA,"100%","3705","Elmbank Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42332","        
            Additional information
            Extended hours are 18.30 - 19.00 Tuesday, Wednesday and Friday  for patients who cannot book appointments during the day due to work commitments
        ",NA
"71",43370,NA,NA,"73%","5736","Squires Lane Medical Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=43370","        
            Additional information
            Our Practice offers extended hours allowing patients to book late evening appointments between 6.30pm and 7pm on Monday, Tuesday, Thursday and Friday. Please note that these appointments are bookable in advance only. Access for patients with pre-booked appointments is via the buzzer. All other services begin at 8am as usual.

        ",NA
"72",38489,NA,NA,"NO DATA","4215","The Town Surgery ",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38489","
                    GPs at this practice
                    3"," and 0 female GPs
                    
                        Additional languages spoken
                        Tamil
                    
                "
"73",38496,NA,NA,"76%","6157","Bootle Village Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38496","
                    GPs at this practice
                    2"," and 2 female GPs
                    
                "
"74",38696,NA,NA,"91%","6157","Stanley Corner Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38696","
                    GPs at this practice
                    2"," and 5 female GPs
                    
                "
"75",46209,NA,NA,"NO DATA","5030","Dr Madhukar C Patel",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=46209","
                    GPs at this practice
                    1"," and 2 female GPs
                    
                        Additional languages spoken
                        Gujarati
                    
                "
"76",41545,NA,NA,"NO DATA","4319","Rosemary Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=41545","        
            Additional information
            we provide extended hour surgery on Monday & Tuesday  6:30 - 7:15 pm. 

Evening & weekend appointments

Barnet residents can now get evening appointments on Monday and Friday as well as morning appointments on a weekend via our special ""access hubs"" throughout the borough






        ",NA
"77",41208,NA,NA,"NO DATA","13638","Jessamine Cottage Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=41208","
                    GPs at this practice
                    3"," and 6 female GPs
                    
                "
"78",35493,NA,NA,"NO DATA","6931","Dormers Wells Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35493","
                    GPs at this practice
                    1"," and 2 female GPs
                    
                        Additional languages spoken
                        Farsi
                    
                "
"79",37034,NA,NA,"NO DATA","14659","FENDER WAY HEALTH CENTRE",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37034","
                    GPs at this practice
                    1"," and 5 female GPs
                    
                "
"80",37574,NA,NA,"90%","4262","Willow House Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37574","
                    GPs at this practice
                    2"," and 1 female GPs
                    
                "
"81",40943,NA,NA,"86%","5251","Crown Wood Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40943","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                "
"82",38251,NA,NA,"89%","2524","Aintree Road Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38251","
                    GPs at this practice
                    2"," and 1 female GPs
                    
                        Additional languages spoken
                        Hindi, Marathi
                    
                "
"83",35914,NA,NA,"NO DATA","10572","Central Park Medical Centre - Ap Powell (Senior Partner)",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=35914","
                    GPs at this practice
                    1"," and 7 female GPs
                    
                "
"84",39482,NA,NA,"86%","4337","Liscard Group Practice - Staples B",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=39482","
                    GPs at this practice
                    1"," and 2 female GPs
                    
                        Additional languages spoken
                        German
                    
                "
"85",36697,NA,NA,"79%","13039","Freezywater Primary Care Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=36697","
                    GPs at this practice
                    7"," and 2 female GPs
                    
                "
"86",37396,NA,NA,"92%","7935","UPTON GROUP PRACTICE",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37396","
                    GPs at this practice
                    2"," and 2 female GPs
                    
                "
"87",44955,NA,NA,"83%","4835","Ks Medical Centre Limited",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44955","
                    GPs at this practice
                    1"," and 1 female GPs
                    
                        Additional languages spoken
                        Hindi, Punjabi, Urdu
                    
                "
"88",37646,NA,NA,"NO DATA","15707","The Old Roan Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37646","
                    GPs at this practice
                    4"," and 3 female GPs
                    
                "
"89",40646,NA,NA,"100%","8287","Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40646","        
            Additional information
            Extended hours at Southall are on tuesdays 6.30-7.30with GP and Nurse
Extended hours at hounslow are on thursdays 6.30-7.30 with GP and Nurse
        ",NA
"90",43321,NA,NA,"NO DATA","19585","The Old School Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=43321","
                    GPs at this practice
                    2"," and 11 female GPs
                    
                "
"91",42735,NA,NA,"NO DATA","15879","Ringmead Medical Practice - Birch Hill ",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42735","
                    GPs at this practice
                    6"," and 0 female GPs
                    
                        Additional languages spoken
                        Hindi
                    
                "
"92",38491,NA,NA,"85%","11939","Forest Health Group",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38491","        
            Additional information
            Late Evening appointments are available on Monday. These are ""pre-booked"" appointments only.

        ",NA
"93",38649,NA,NA,"NO DATA","5191","Dr Amir Ipakchi",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=38649","
                    GPs at this practice
                    2"," and 1 female GPs
                    
                        Additional languages spoken
                        Italian
                    
                "
"94",42043,NA,NA,"86%","5692","Alperton Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42043","        
            Additional information
            The practice is now running a clinic on Tuesday and Wednesday from 3.30pm to 5.30pm. This clinic is especially intended for school children and young adults in college.
        ",NA
"95",44494,NA,NA,"91%","5428","Fieldhead Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44494","        
            Additional information
            We close one Thursday afternoon per month for staff training, please see our web-site for a list of dates. Phone lines are open 8am-6.30pm. Doors are open 8am-7pm (Wednesday till 9pm). We also have evening and weekend appointments from a shared hub service, please ask a member of our reception team to book an appointment for you. 
        ",NA
"96",37032,NA,NA,"NO DATA","9689","The North Thoresby Practice, Holton-le-Clay",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=37032","
                    GPs at this practice
                    3"," and 3 female GPs
                    
                        Additional languages spoken
                        Urdu
                    
                "
"97",42240,NA,NA,"NO DATA","9996","Rockwell Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42240","
                    GPs at this practice
                    1"," and 4 female GPs
                    
                "
"98",42146,NA,NA,"100%","8075","Coppull Medical Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=42146","
                    GPs at this practice
                    3"," and 2 female GPs
                    
                "
"99",40368,NA,NA,"NO DATA","5441","The Moss Lane Surgery",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40368","
                    GPs at this practice
                    2"," and 0 female GPs
                    
                "
"100",44444,NA,NA,"NO DATA","8199","Chandos Medical Centre",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44444","
                    GPs at this practice
                    0"," and 6 female GPs
                    
                "
"101",44482,NA,NA,"99%","10737","Beechwood Medical Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=44482","
                    GPs at this practice
                    3"," and 4 female GPs
                    
                        Additional languages spoken
                        French, Cantonese, Chinese Mandarin, Hakka
                    
                "
"102",40457,NA,NA,"NO DATA","13006","Fishponds Family Practice",NA,"We are currently accepting new patients","https://www.nhs.uk/Services/GP/Overview/DefaultView.aspx?id=40457","
                    GPs at this practice
                    3"," and 5 female GPs
                    
                "
