EstablishmentDetail - FHRSID,EstablishmentDetail - RatingKey,EstablishmentDetail - RatingDate,EstablishmentDetail - SchemeType,EstablishmentDetail - RatingValue,EstablishmentDetail - BusinessName,EstablishmentDetail - BusinessType,EstablishmentDetail - BusinessTypeID,EstablishmentDetail - NewRatingPending,EstablishmentDetail - LocalAuthorityCode,EstablishmentDetail - LocalAuthorityName,EstablishmentDetail - LocalAuthorityWebSite,EstablishmentDetail - LocalAuthorityBusinessID,EstablishmentDetail - LocalAuthorityEmailAddress,EstablishmentDetail - AddressLine1,EstablishmentDetail - AddressLine2,EstablishmentDetail - PostCode,EstablishmentDetail - Geocode - Latitude,EstablishmentDetail - Geocode - Longitude,EstablishmentDetail - Scores - Hygiene,EstablishmentDetail - Scores - Structural,EstablishmentDetail - Scores - ConfidenceInManagement,EstablishmentDetail - AddressLine3,EstablishmentDetail - AddressLine4
600676,fhrs_5_en-GB,01/03/2017,FHRS,5,99p Stores,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000430914,nick.lowe@birmingham.gov.uk,Princess Alice Drive,Birmingham,B73 6RB,52.550476,-1.859145,5,0,5,,
604364,fhrs_5_en-GB,01/03/2017,FHRS,5,99p Stores Ltd,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000510173,nick.lowe@birmingham.gov.uk,6 Swan Centre,20 Church Road,B25 8UJ,52.462419,-1.813078,0,0,0,South Yardley,Birmingham
599506,fhrs_5_en-GB,01/03/2017,FHRS,5,A & K Superstore,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000278797,nick.lowe@birmingham.gov.uk,640-642 Coventry Road,South Yardley,B10 0UT,52.467598,-1.851637,0,5,5,Birmingham,
601720,fhrs_1_en-GB,24/01/2017,FHRS,1,A & S Supermarket,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000467254,nick.lowe@birmingham.gov.uk,215 Stoney Lane,Sparkbrook,B12 8AN,52.45225,-1.872995,10,10,20,Birmingham,
603807,fhrs_4_en-GB,29/10/2014,FHRS,4,A Barnes Groceries,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000502361,nick.lowe@birmingham.gov.uk,"Stall 30c, Indoor Market",50 Edgbaston Street,B5 4RQ,52.476122,-1.895099,5,5,10,Birmingham,
597807,fhrs_5_en-GB,01/03/2017,FHRS,5,A Cake In The Hand,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000072319,nick.lowe@birmingham.gov.uk,,,,,,0,0,5,,
620506,fhrs_5_en-GB,17/06/2016,FHRS,5,A Chef For All Seasons,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000508708,nick.lowe@birmingham.gov.uk,Unit 16,Mount Street Business Centre,B7 5RD,52.497703,-1.864513,0,0,0,Mount Street,Birmingham
854035,fhrs_5_en-GB,23/02/2016,FHRS,5,A D Hockley Catering - Unit 11,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000629691,nick.lowe@birmingham.gov.uk,Boulton Industrial Centre,Icknield Street,B18 5AU,52.492877,-1.91587,0,0,5,Soho,Birmingham
598639,fhrs_5_en-GB,01/03/2017,FHRS,5,A E Franklin,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000174340,nick.lowe@birmingham.gov.uk,273 Alcester Road South,Brandwood,B14 6EB,52.421379,-1.891523,5,5,5,Birmingham,
597921,fhrs_4_en-GB,01/03/2017,FHRS,4,A E Hughes & Son,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000089869,nick.lowe@birmingham.gov.uk,41 Rowheath Road,Birmingham,B30 2EU,52.417569,-1.929864,5,5,10,,
603407,fhrs_4_en-GB,01/03/2017,FHRS,4,A J Barlow Limited,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000497124,nick.lowe@birmingham.gov.uk,"Stall 113, Indoor Market",50 Edgbaston Street,B5 4RQ,52.476122,-1.895099,5,5,10,Birmingham,
912701,fhrs_4_en-GB,04/05/2017,FHRS,4,A J Food Store,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000628493,nick.lowe@birmingham.gov.uk,34 Tame Road,Birmingham,B6 7DJ,52.512912,-1.88007,0,0,10,,
599019,fhrs_3_en-GB,14/02/2017,FHRS,3,A K Halal Meat,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000215261,nick.lowe@birmingham.gov.uk,172 Stoney Lane,Sparkbrook,B12 8AN,52.45225,-1.872995,10,10,5,Birmingham,
599967,fhrs_5_en-GB,08/09/2017,FHRS,5,A K Holder Limited,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000335463,nick.lowe@birmingham.gov.uk,392 Birmingham Road,Sutton New Hall,B72 1YJ,52.535152,-1.827954,5,5,5,Birmingham,Birmingham
976048,fhrs_3_en-GB,06/02/2017,FHRS,3,A K Kebab House,Takeaway/sandwich shop,7844,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000518535,nick.lowe@birmingham.gov.uk,138A Heathfield Road,Lozells And East Handsworth,B19 1HJ,52.50535965,-1.910691023,10,10,5,Birmingham,
599395,fhrs_5_en-GB,01/03/2017,FHRS,5,A Latif Butchers,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000260974,nick.lowe@birmingham.gov.uk,325 Slade Road,Stockland Green,B23 7JX,52.518145,-1.856271,0,5,0,Birmingham,
599554,fhrs_5_en-GB,01/03/2017,FHRS,5,A M Mohammedi Stores,Retailers - supermarkets/hypermarkets,7840,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000285478,nick.lowe@birmingham.gov.uk,336 Green Lane,Bordesley Green,B9 5DP,52.474053,-1.851968,5,0,5,Birmingham,
601839,fhrs_4_en-GB,01/03/2017,FHRS,4,A One Newsagent,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000471222,nick.lowe@birmingham.gov.uk,114-116 Flaxley Road,Stechford And Yardley North,B33 9HG,52.487029,-1.804476,5,0,10,Birmingham,
976092,fhrs_4_en-GB,22/08/2017,FHRS,4,A Taste Of Persia ( Shiraz),Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000536416,nick.lowe@birmingham.gov.uk,167 Hagley Road,Ladywood,B16 8UQ,52.472139,-1.930735,5,5,10,Birmingham,
599310,fhrs_5_en-GB,12/02/2017,FHRS,5,A To Z News,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000252368,nick.lowe@birmingham.gov.uk,316 Coventry Road,Nechells,B10 0XE,52.472243,-1.864061,5,0,5,Birmingham,
1007276,fhrs_2_en-GB,15/09/2017,FHRS,2,A Yah So Nice Blue Marlin Takeaway,Takeaway/sandwich shop,7844,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000624583,nick.lowe@birmingham.gov.uk,448 Birchfield Road,Birmingham,B20 3JG,52.514641,-1.902214,15,10,10,,
601457,fhrs_1_en-GB,27/04/2017,FHRS,1,A&A Foods,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000456550,nick.lowe@birmingham.gov.uk,132 Boulton Road,Birmingham,B21 0RE,52.500533,-1.938233,10,15,20,,
602348,fhrs_5_en-GB,01/03/2017,FHRS,5,A&P Doherty,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000481233,nick.lowe@birmingham.gov.uk,"Stall 104, Indoor Market",50 Edgbaston Street,B5 4RQ,52.476122,-1.895099,0,0,0,Birmingham,
601881,fhrs_5_en-GB,01/03/2017,FHRS,5,A&R Newsagents,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000472124,nick.lowe@birmingham.gov.uk,320 Yardley Wood Road,Billesley,B13 9JW,52.438574,-1.870578,5,5,0,Birmingham,
601430,fhrs_5_en-GB,01/03/2017,FHRS,5,A&S Fruit & Veg,Distributors/Transporters,7,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000455446,nick.lowe@birmingham.gov.uk,"Unit 56, Wholesale Horticultural Market",64 Pershore Street,B5 6UR,,,0,0,5,Birmingham,
602108,fhrs_1_en-GB,22/06/2015,FHRS,1,A1 Convenience Store,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000476657,nick.lowe@birmingham.gov.uk,2 Twickenham Road,Birmingham,B44 0NT,52.544865,-1.86571,5,10,20,,
598478,fhrs_exempt_en-GB,04/01/2016,FHRS,Exempt,A1 Garages,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000155693,nick.lowe@birmingham.gov.uk,110 Constitution Hill,Birmingham,B19 3JS,52.487845,-1.905631,,,,,
598724,fhrs_4_en-GB,12/01/2017,FHRS,4,Abbey Park House,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000182589,nick.lowe@birmingham.gov.uk,Abbey Park House,49-51 Park Road,B13 8AH,52.453293,-1.89096,0,10,0,Moseley And Kings Heath,Birmingham
599841,fhrs_5_en-GB,06/07/2016,FHRS,5,Abbey Rc Jmi School,School/college/university,7845,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000322042,nick.lowe@birmingham.gov.uk,Sutton Road,Birmingham,B23 6QL,52.52951,-1.836777,0,5,0,,
602010,fhrs_5_en-GB,20/03/2017,FHRS,5,Abbey Rose Nursing Home,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000474423,nick.lowe@birmingham.gov.uk,Abbeyrose Nursing Home,34-38 Orchard Road,B24 9JA,52.526212,-1.83132,5,5,5,Erdington,Birmingham
599916,fhrs_4_en-GB,01/03/2017,FHRS,4,Abbeyfield Sutton Coldfield Society,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000329542,nick.lowe@birmingham.gov.uk,42 Anchorage Road,Sutton Trinity,B74 2PL,52.568878,-1.825093,5,5,10,Birmingham,Birmingham
600080,fhrs_5_en-GB,01/03/2017,FHRS,5,Abbi'S Off Licence,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000348140,nick.lowe@birmingham.gov.uk,130 Yardley Road,Acocks Green,B27 6LR,52.454875,-1.817819,5,5,5,Birmingham,
600496,fhrs_5_en-GB,01/03/2017,FHRS,5,Abc Day Nursery,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000412161,nick.lowe@birmingham.gov.uk,6 Wilson Drive,Birmingham,B75 7PW,52.564835,-1.787889,0,0,0,,
962669,fhrs_5_en-GB,18/04/2017,FHRS,5,Abduls Cafe Diner,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000634193,nick.lowe@birmingham.gov.uk,1191 Stratford Road,Hall Green,B28 8BX,52.436379,-1.847049,5,5,5,Birmingham,
853962,fhrs_4_en-GB,24/02/2016,FHRS,4,Abduls Kebab House,Takeaway/sandwich shop,7844,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000512619,nick.lowe@birmingham.gov.uk,77 Rookery Road,Handsworth Wood,B21 9QU,52.507168,-1.940831,5,5,10,Birmingham,
599441,fhrs_5_en-GB,01/03/2017,FHRS,5,Absolute Cake Affair,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000269259,nick.lowe@birmingham.gov.uk,,,,,,0,0,5,,
734379,fhrs_1_en-GB,23/03/2017,FHRS,1,Abu Zayd Restaurant,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000508385,nick.lowe@birmingham.gov.uk,412 Coventry Road,Nechells,B10 0UF,52.47135,-1.861987,15,10,20,Birmingham,
603136,fhrs_exempt_en-GB,01/03/2017,FHRS,Exempt,Abu'S Midnight Pharmacy,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000493303,nick.lowe@birmingham.gov.uk,348 Bordesley Green East,Stechford And Yardley North,B33 8QB,52.477837,-1.813189,,,,Birmingham,
602446,fhrs_5_en-GB,08/06/2016,FHRS,5,AC Hotel Birmingham,Hotel/bed & breakfast/guest house,7842,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000482639,nick.lowe@birmingham.gov.uk,Ramada,160 Wharfside Street,B1 1RL,52.475933,-1.905406,0,5,0,Birmingham,
600983,fhrs_4_en-GB,01/03/2017,FHRS,4,Accord Housing,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000444680,nick.lowe@birmingham.gov.uk,Hightrees,8B Albert Road,B17 0AN,52.4573,-1.957601,10,5,0,Harborne,Birmingham
600628,fhrs_5_en-GB,22/02/2017,FHRS,5,Accord Housing Association Limited,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000425858,nick.lowe@birmingham.gov.uk,21 Trittiford Road,Birmingham,B13 0ES,52.425617,-1.86866,0,0,5,,
598143,fhrs_5_en-GB,01/03/2017,FHRS,5,Acfold Post Office,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000111734,nick.lowe@birmingham.gov.uk,33 Acfold Road,Birmingham,B20 1HD,52.529679,-1.938605,0,0,0,,
604753,fhrs_4_en-GB,19/09/2017,FHRS,4,Acha Chinese Cuisine,Takeaway/sandwich shop,7844,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000513363,nick.lowe@birmingham.gov.uk,7 Heybarnes Road,Birmingham,B10 9HR,52.465873,-1.838395,5,5,10,,
600032,fhrs_exempt_en-GB,01/03/2017,FHRS,Exempt,Acocks Green Baptist Church,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000341180,nick.lowe@birmingham.gov.uk,Yardley Road,Acocks Green,B27 6HG,52.451352,-1.818731,,,,Birmingham,
599743,fhrs_5_en-GB,26/08/2015,FHRS,5,Acocks Green Bowl,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000309887,nick.lowe@birmingham.gov.uk,Westley Road,Birmingham,B27 7UH,52.445673,-1.826037,0,0,0,,
599744,fhrs_5_en-GB,20/07/2016,FHRS,5,Acocks Green Junior And Infant School,School/college/university,7845,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000309888,nick.lowe@birmingham.gov.uk,Westley Road,Birmingham,B27 7UQ,52.446023,-1.826109,0,0,0,,
600061,fhrs_5_en-GB,29/11/2016,FHRS,5,Acocks Green Methodist Church,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000345926,nick.lowe@birmingham.gov.uk,Botteville Road,Birmingham,B27 7YE,52.443627,-1.822838,0,0,0,,
604582,fhrs_5_en-GB,18/09/2017,FHRS,5,Acorn Care Home,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000511896,nick.lowe@birmingham.gov.uk,88 Handsworth Wood Road,Birmingham,B20 2PL,52.518462,-1.92801,5,0,0,,
603525,fhrs_5_en-GB,01/03/2017,FHRS,5,Acorn Lodge,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000499012,nick.lowe@birmingham.gov.uk,398 Chester Road North,Birmingham,B73 6RG,52.548941,-1.860507,5,0,0,,
601312,fhrs_5_en-GB,01/03/2017,FHRS,5,Acorn Motor Company Ltd,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000450618,nick.lowe@birmingham.gov.uk,316 Clarence Road,Sutton Four Oaks,B74 4LU,52.59997,-1.848681,0,5,0,Birmingham,Birmingham
597930,fhrs_5_en-GB,06/10/2016,FHRS,5,Acorns Childrens Hospice Trust,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000090935,nick.lowe@birmingham.gov.uk,103 Oak Tree Lane,Bournville,B29 6HZ,52.435104,-1.93828,0,5,0,Birmingham,
601454,fhrs_5_en-GB,12/01/2017,FHRS,5,Acrewood Nursey,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000456199,nick.lowe@birmingham.gov.uk,394 Clay Lane,Birmingham,B26 1EU,52.449752,-1.807466,0,0,0,,
600828,fhrs_exempt_en-GB,01/03/2017,FHRS,Exempt,Action Indoor Sports,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000441003,nick.lowe@birmingham.gov.uk,Marsh Hill,Birmingham,B23 7EY,52.52442,-1.863693,,,,,
602135,fhrs_4_en-GB,13/03/2017,FHRS,4,Actress & Bishop,Pub/bar/nightclub,7843,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000477142,nick.lowe@birmingham.gov.uk,36 Ludgate Hill,Birmingham,B3 1EH,52.484527,-1.904813,5,10,5,,
997285,fhrs_4_en-GB,25/07/2017,FHRS,4,ADAB Catering,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000641718,nick.lowe@birmingham.gov.uk,15 Macdonald Street,Birmingham,B5 6TG,52.46988,-1.891478,5,10,5,,
599079,fhrs_5_en-GB,01/03/2017,FHRS,5,Adam & Eve,Pub/bar/nightclub,7843,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000220752,nick.lowe@birmingham.gov.uk,Adam And Eve,203 Bradford Street,B12 0JD,52.471523,-1.879918,5,5,5,Birmingham,
603619,fhrs_4_en-GB,01/03/2017,FHRS,4,Adam Halal Foods Ltd,Distributors/Transporters,7,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000500124,nick.lowe@birmingham.gov.uk,4 Blews Street,Birmingham,B6 4EP,52.491278,-1.893281,0,10,0,,
924719,fhrs_5_en-GB,10/05/2017,FHRS,5,Adams,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000627481,nick.lowe@birmingham.gov.uk,New Oxford House,16 Waterloo Street,B2 5UG,52.479813,-1.901436,,,,Birmingham,
