"","x"
"62","as part of an APPG on Scotch Whisky fact-finding visit to Islay, travel, accommodation and subsistence with a value of å£379.41"
"63","Invited to speak at the donor's annual conference in relation to my campaign against assaults on police officers. Flights å£249.94; bed and breakfast å£95, dinner å£35; lunch å£20; total value å£399.94"
"64","Dinner for my wife and me at the Randox Polo International event at Gleneagles, total value å£240."
"65","ADS guest at CBI Scotland Dinner, value å£180"
"66","Two tickets for Glastonbury, value å£900, received because of my role in relation to DCMS"
"67","two tickets with hospitality for NFL game at Wembley, with a total value of å£880Date of receipt of donation: 2 October 2016Date of acceptance of donation: 2 October 2016Donor status: company, registration 02777555(Registered 04 October 2016)
"
"68","hospitality for my wife and me at Cheltenham Races, approx. total value å£600Dates received: 13 and 17 March 2017Date accepted: 13 March 2017Donor status: company, registration 2909409.(Registered 26 April 2017)
"
"69","Tickets for a concert, and associated hospitality, for myself and my husband, with a value of å£550 per person, total å£1,100"
"70"," hospitality with a value of å£528 at FA cup"
"71","Two tickets to Glastonbury, total value å£476, given to a member of my family"
"72","three tickets for the Community Shield at Wembley Stadium with a value of å£45 each, total å£135"
"73","two tickets for the NOEA Awards Evening with a value of å£372, plus hotel stay worth å£180, total value å£552Date accepted: 24 November 2016"
"74","Ticket and hospitality for the Ivor Novello awards, value å£370, received because of my role in relation to DCMS"
"75","Two tickets and hospitality to the value of å£360 received for the Rugby League Grand Final"
"76","two tickets and hospitality at Cheltenham Races, with a value of å£350 each, total å£700"
"77","two tickets and hospitality for my wife and me at Cheltenham Races, with a value of å£350 each, total å£700"
"78","three tickets and hospitality for my senior parliamentary assistant, my wife and me at Ascot Racecourse, with a value of å£350 each, total å£1,050"
"79","two tickets and hospitality for my wife and me at Ascot Racecourse, with a value of å£350 each, total å£700"
"80","two tickets and hospitality at Cheltenham Races, with a value of å£300 each, total å£600"
"81","two tickets and hospitality for my wife and me at Cheltenham Races, with a value of å£300 each, total å£600"
"82","two hospitality tickets to see Elton John concert held within constituency, value å£250 each, total value å£500."
"83","two tickets and hospitality at Coral Sprint Trophy in York, with a value of å£250 each, total å£500"
"84","football match & lunch tickets, for me and my husband, to Derby County's Pride Park ground; å£150 per person, total value å£300"
"85","two tickets for the Royal Box at the Wimbledon championships on 13 July 2017, estimated value å£8,590"
"86","whilst undertaking a visit in my capacity as Speaker, for a member of staff and myself, one night's accommodation and hospitality with a total value of å£2,815"
"87","Five tickets with hospitality to attend Glastonbury Festival, total value å£2,445"
"88","Two tickets to the Six Nations Rugby, and accompanying hospitality, value å£2,012"
"89","Two M & S Charity Ball tickets with a value of å£2,000"
"90","two tickets to the BAFTAs, total value including hospitality å£1,840"
"91","In my role as Shadow Minister for Culture, Media and Sport, two tickets and hospitality at the British Film and Television Awards ceremony, value å£1,840"
"92","in my capacity as a member of the Culture, Media and Sport Committee, hospitality for myself and my wife at the BAFTAs with a total value of å£1,840 (å£920 per person)"
"93","Tickets for my wife and me to attend the BAFTA ceremony at the Royal Albert Hall followed by official dinner, total value of å£1,840 (å£920 per person)"
"94","In my role on the culture, media and sport select committee I was invited to and accepted two tickets and hospitality at the British Film and Television Awards ceremony, value å£1,840"
"95","two tickets, including hospitality, to a football match at Chelsea Football Club, value å£1,428"
"96","Two tickets, with associated hospitality, for the Davis Cup semi final at the Emirates Arena in Glasgow between 16 and 18 September 2016, value å£1,384.80"
"97","Wales v England match tickets for me and my wife with a total value of å£1,280"
"98","hospitality for me and a guest to the Grand National, total value å£1,125.60"
"99","two tickets, including hospitality, for the Glastonbury Festival value with a value of å£1,108.32"
"100","Two tickets to Glastonbury and accommodation with a total value of å£1,108.32 (å£950 for tickets and å£158.32 for accommodation)"
"101","two passes and hospitality for 2017 British Grand Prix at Silverstone, value å£1,084 (å£542 per person)"
"102","ticket, including hospitality, for the National Television Awards with a value of å£1,028"
"103","In my capacity as Chairman of the All Party Parliamentary Group for Music, I received two tickets and accommodation at Glastonbury music festival to the value of å£1,019.46"
"104","hospitality at Aintree Racecourse, approx. value å£1,000"
"105","four tickets and hospitality to Capital FM Summertime Ball with a value of å£1,000"
"106","Hospitality at several dinners, with an estimated total value of å£850"
"107","Four tickets with hospitality for the Wales v Argentina match at the Principality Stadium, Cardiff, value å£833.36"
"108","hospitality and rugby pass for England v Scotland at Twickenham (Calcutta Cup), value å£828"
"109","three tickets to attend a football match on 22 January 2017, and associated hospitality; total value å£825"
"110","two tickets to attend a football match on 19 November 2016, and associated hospitality; total value å£810"
"111","two tickets, with hospitality, for the England v South Africa ODI, with an approx. value å£800"
"112","Two tickets to the British Masters at the Grove Golf Club, with a value of å£800"
"113","three tickets and hospitality to FA Cup Semi-Final (Chelsea v Tottenham Hotspur), total value å£792"
"114","two tickets and associated hospitality to ATP World Tour Finals, with a  total value of å£790 (å£395 each)"
"115","Ticket to Royal Ascot, with accompanying hospitality, value å£718.80"
"116","a ticket to watch Chelsea v Man Utd, total value including hospitality å£714"
"117","two tickets to Royal Ascot with a value of å£700 (å£350 per person)"
"118","Two tickets plus hospitality at a football match at Stamford Bridge, total value å£677.04 (å£338.52 per person)"
"119","two tickets and hospitality to watch Sheffield Wednesday FC at Wembley in the Championship Playoff Final, total estimated value å£650"
"120","for a member of staff and myself, hospitality at Royal Ascot with a value of å£640 (å£320 per person)"
"121","two tickets, with associated hospitality, for the Aegon Championships; total value å£630"
"122","two tickets to attend the Aegon Championships, with associated hospitality; value å£630"
"123","Two tickets with hospitality for myself and my wife for the Six Nations England vs Scotland match, value å£608"
"124","One ticket with hospitality to the ATP World Tour Finals, total value å£605"
"125","One ticket with hospitality to the ATP World Tour Finals; total value å£605"
"126","2 tickets to Chelsea v Sunderland, including hospitality in the Director's Box, with an estimated total value of å£600"
"127","Ticket with hospitality for a rugby international at Twickenham, value å£599.70"
"128","ticket and hospitality to the Royal Ascot with a value of å£599"
"129","two tickets to attend a football match on 6 November 2016, and associated hospitality; total value å£550"
"130","two tickets to attend a football match on 31 January 2017, and associated hospitality; total value å£550"
"131","two tickets to attend a football match on 7 March 2017, and associated hospitality; total value å£550"
"132","two tickets with a total value of å£540"
"133","two tickets for football match on Saturday 25 February 2017, with associated hospitality, estimated value å£528"
"134","three tickets to the Royal International Air Tattoo 2017, plus hospitality with a value of å£510 (å£170 per person), also an Airbus Pen (å£43) and A400M Model (å£43.99), total value å£596.99"
"135","two tickets for the Meetings and Incentive Travel Awards, value å£510"
"136","two tickets to the Reading Festival, which is held in my constituency, total value å£510"
"137","two tickets with hospitality to St Leger Races, value å£500 (å£250 each)"
"138","Entry to Tannadice and hospitality for the season, value å£500"
"139","Entry to Tannadice and hospitality for the current season for myself and an occasional guest, value å£500"
"140","two tickets for Glastonbury 2016, where I gave a talk and took part in a political debate on the Left Field Stage, total value å£446"
"141","two tickets with hospitality, total value of å£400"
"142","Tickets for football match, and associated hospitality, for myself and my husband, with a total value of å£400"
"143","Attended Grand National and received hospitality at Aintree Racecourse, as a guest of the Jockey Club (who own Haydock Racecourse), total value å£399"
"144","Two tickets with hospitality for the England vs South Africa test match at Lords, value å£392"
"145","two tickets to attend the ATP World Tour Finals on Sunday 20 November 2016, and associated hospitality; total value å£385"
"146","Two tickets and hospitality at Old Trafford with a value of å£360"
"147","Hospitality for myself and my wife at Fairford Air Tattoo, total estimated value å£350"
"148","two tickets to Coral Eclipse with a value of å£350 (å£175 each)"
"149","two tickets with hospitality for the FA Community Shield, estimated value å£350"
"150","two tickets with hospitality for the EFL Cup final, estimated value å£350"
"151","Ticket and hospitality at the Cheltenham Festival, value å£350"
"152","Hospitality at the Royal International Air Tattoo for myself and a member of staff, total value å£338"
"153","Hospitality and overnight stay at the Celtic Manor totalling å£330"
"154","two tickets to attend a football match on Wednesday 23 November 2016, with associated hospitality; value å£330"
"155","three tickets to the Royal International Air Tattoo plus hospitality, value å£318 (å£106 per person)"
"156","Two tickets for Wimbledon, including lunch, value å£302"
"157","two tickets to attend the ATP World Tour Finals on Monday 14 November 2016, and associated hospitality, value å£277"
"158","two tickets to attend the ATP World Tour Finals on Thursday 17 November 2016, and associated hospitality, value å£277"
"159","three tickets for League 1 Play Off with a value of å£255 (å£85 each)"
"160","Two tickets to All England Lawn Tennis Club Championships at Wimbledon; total value å£252"
"161","hospitality received at Doncaster Races with a value of å£250"
"162","two tickets for Cheltenham with a value of å£250 (å£125 each)"
"163","hospitality at Conservative Party conference for my wife and me, approx. value å£200"
"164","hospitality at ADS' annual dinner, value å£109.61"
"165","hospitality at ADS industry dinner with SNP MPs, value å£92"
